#Generated by the fillatoms program

#Input file to regenerate this configuration:
#   0.000    0.000    0.000   70.000   70.000   70.000
#   13    0.800 1440965039 1    0.300
#   5.4307000014      0.0000000000      0.0000000000
#   0.0000000000      5.4307000014      0.0000000000
#   0.0000000000      0.0000000000      5.4307000014
#8
# 0 1    0.0000000000    0.0000000000    0.0000000000 si
# 1 1    1.3576749990    1.3576749990    1.3576749990 si
# 2 1    0.0000000000    2.7153499980    2.7153499980 si
# 3 1    1.3576749990    4.0730250024    4.0730250024 si
# 4 1    2.7153499980    0.0000000000    2.7153499980 si
# 5 1    4.0730250024    1.3576749990    4.0730250024 si
# 6 1    2.7153499980    2.7153499980    0.0000000000 si
# 7 1    4.0730250024    4.0730250024    1.3576749990 si

17048 atoms
1 atom types
  0.0000000000  70.0000000000 xlo xhi
  0.0000000000  70.0000000000 ylo yhi
  0.0000000000  70.0000000000 zlo zhi

Atoms # atomic

      1      1    1.82683607   37.65535581   28.13759365
      2      1    1.12188977   38.59256457   24.48096383
      3      1    2.53178237   36.71814706   31.79422349
      4      1    1.38024461   36.80197316   11.87398961
      5      1    0.67529830   37.73918191    8.21735978
      6      1    6.87639652   35.80078528   22.65603252
      7      1    6.17145022   36.73799404   18.99940269
      8      1    3.64667000   37.66527930   21.74018326
      9      1    3.88749528   36.98332926   19.50259716
     10      1    2.79013720   34.92755564   19.18724927
     11      1    3.18254898   37.92053802   15.84596733
     12      1    2.08519090   35.86476440   15.53061944
     13      1    9.38364720   35.98214139   30.28464008
     14      1    8.28628912   33.92636777   29.96929218
     15      1    7.58134282   34.86357652   26.31266235
     16      1    5.05656260   35.79086179   29.05344292
     17      1    4.35161630   36.72807054   25.39681309
     18      1    5.29738788   35.10891175   26.81585682
     19      1    4.20002980   33.05313813   26.50050893
     20      1    4.59244158   36.04612051   23.15922699
     21      1    3.49508350   33.99034688   22.84387910
     22      1    2.06766136   36.97340577   25.90000756
     23      1    0.97030328   34.91763215   25.58465966
     24      1    1.36271506   37.91061453   22.24337773
     25      1    0.26535698   35.85484091   21.92802983
     26      1    1.21112856   34.23568211   23.34707356
     27      1    0.11377048   32.17990849   23.03172567
     28      1    0.50618226   35.17289087   19.69044373
     29      1    5.76150890   34.85365303   32.71007275
     30      1    6.70728048   33.23449423   34.12911648
     31      1    5.60992240   31.17872061   33.81376859
     32      1    6.00233418   34.17170299   30.47248665
     33      1    4.90497610   32.11592937   30.15713876
     34      1    3.47755395   35.09898826   33.21326722
     35      1    2.38019588   33.04321464   32.89791932
     36      1    2.77260765   36.03619702   29.55663739
     37      1    1.67524958   33.98042339   29.24128949
     38      1    2.62102116   32.36126459   30.66033322
     39      1    1.52366308   30.30549098   30.34498533
     40      1    1.91607486   33.29847335   27.00370339
     41      1    0.81871678   31.24269973   26.68835550
     42      1    3.08514218   32.10600588   36.55454915
     43      1    3.32596746   31.42405584   34.31696305
     44      1    2.22860938   29.36828222   34.00161516
     45      1    0.80118723   32.35134110   37.05774362
     46      1    0.09624093   33.28854986   33.40111379
     47      1   10.51606437   35.82063226    9.86121173
     48      1    6.42980505   34.94740263    6.39242848
     49      1    5.72485875   35.88461138    2.73579865
     50      1    3.20007853   36.81189665    5.47657921
     51      1    2.49513223   37.74910540    1.81994938
     52      1    3.44090381   36.12994660    3.23899311
     53      1    2.34354574   34.07417299    2.92364522
     54      1    0.21117729   37.99444063    2.32314385
     55      1   11.92595697   33.94621475   17.17447139
     56      1   11.22101067   34.88342351   13.51784156
     57      1    8.69623045   35.81070877   16.25862213
     58      1    8.93705573   35.12875873   14.02103603
     59      1    7.83969765   33.07298511   13.70568814
     60      1    8.23210943   36.06596749   10.36440620
     61      1    7.13475135   34.01019387   10.04905831
     62      1    5.70732921   36.99325275   13.10518677
     63      1    4.60997113   34.93747913   12.78983887
     64      1    3.90502483   35.87468789    9.13320904
     65      1    4.85079641   34.25552909   10.55225277
     66      1    3.75343833   32.19975547   10.23690488
     67      1    4.14585012   35.19273785    6.89562294
     68      1    3.04849203   33.13696423    6.58027505
     69      1    1.62106989   36.12002312    9.63640351
     70      1    0.52371181   34.06424949    9.32105561
     71      1    0.91612359   37.05723187    5.97977368
     72      1    0.76453709   33.38229945    7.08346952
     73      1    0.05959080   34.31950821    3.42683969
     74      1   16.71716258   33.88223563   24.29988448
     75      1   14.43320764   34.12757085   24.80307895
     76      1   13.33584957   32.07179724   24.48773105
     77      1   12.63090327   33.00900599   20.83110122
     78      1   10.10612304   33.93629126   23.57188179
     79      1    9.40117675   34.87350001   19.91525196
     80      1   10.34694833   33.25434121   21.33429569
     81      1    9.24959025   31.19856760   21.01894780
     82      1    9.64200203   34.19154997   17.67766586
     83      1    8.54464395   32.13577635   17.36231797
     84      1    7.11722180   35.11883524   20.41844643
     85      1    6.01986373   33.06306162   20.10309853
     86      1    6.41227550   36.05604400   16.76181660
     87      1    5.31491743   34.00027037   16.44646870
     88      1    6.26068901   32.38111158   17.86551243
     89      1    5.16333093   30.32533796   17.55016454
     90      1    5.55574271   33.31832033   14.20888260
     91      1    4.45838463   31.26254671   13.89353471
     92      1    3.03096249   34.24560560   16.94966317
     93      1    1.93360441   32.18983198   16.63431527
     94      1    2.32601619   35.18281436   13.29303334
     95      1    1.22865811   33.12704073   12.97768544
     96      1    2.17442969   31.50788194   14.39672918
     97      1    1.07707161   29.45210832   14.08138128
     98      1    1.46948340   32.44509070   10.74009935
     99      1    0.37212531   30.38931707   10.42475145
    100      1   11.90842742   35.05485612   27.54385951
    101      1   10.81106934   32.99908250   27.22851162
