CELL_VECTORS
    132.28082695      0.00000000      0.00000000
      0.00000000    132.28082695      0.00000000
      0.00000000      0.00000000    132.28082695
NUM_ATOM_SITES
16922
NUM_TYPE_X_Y_Z_ELEM
    1     1         6.67636400         1.09842104        48.44568214 si
    2     1         8.58259144         1.46995164        44.44872171 si
    3     1         2.19106813         0.14655024        41.27746614 si
    4     1         5.60208270         2.98433588        41.52115521 si
    5     1         7.50831014         3.35586643        37.52419478 si
    6     1         1.14585252         8.47935908        39.90667433 si
    7     1         1.11678685         2.03246501        34.35294053 si
    8     1         4.52780140         4.87025067        34.59662959 si
    9     1         6.43402870         5.24178121        30.59966916 si
   10     1         0.04250552         3.91837980        27.42841359 si
   11     1         0.07157120        10.36527387        32.98214739 si
   12     1         3.45352010         6.75616546        27.67210266 si
   13     1         5.35974740         7.12769613        23.67514223 si
   14     1         3.42445443         0.30927140        22.11836886 si
   15     1         0.44394570         1.82365549        19.19080368 si
   16     1         7.90975030         1.26114220        29.28658486 si
   17     1         9.81597760         1.63267280        25.28962443 si
   18     1         6.83546887         3.14705704        22.36205792 si
   19     1         8.74169630         3.51858759        18.36509749 si
   20     1        22.83460075         8.86908538         0.38261454 si
   21     1        27.45638570         1.72441445         0.38810175 si
   22     1        22.03895407        23.09751022         3.13182266 si
   23     1        22.43677807        15.98329787         1.75721864 si
   24     1        21.51419602        31.04757204         0.14378137 si
   25     1        16.89241108        38.19224338         0.13829418 si
   26     1        21.11193400         4.07343396         5.54923493 si
   27     1        18.86450920         7.22784462         7.72781390 si
   28     1        14.64054826         7.25830321         6.34772274 si
   29     1        19.26233321         0.11363222         6.35320988 si
   30     1        15.03837095         0.14409081         4.97311859 si
   31     1        20.98499996         4.90928370         1.18658953 si
   32     1        14.91143559         0.97994048         0.61047328 si
   33     1        13.84490158        21.48672791         9.09693078 si
   34     1        14.24272426        14.37251556         7.72232676 si
   35     1        20.18935328        19.13770880         3.93579761 si
   36     1        15.96539101        19.16816646         2.55570645 si
   37     1        20.58717596        12.02349605         2.56119359 si
   38     1        16.36321502        12.05395464         1.18110234 si
   39     1        14.11578890        15.20836504         3.35968141 si
   40     1         9.89182796        15.23882402         1.97959012 si
   41     1        14.51361290         8.09415295         1.98507739 si
   42     1        10.28965117         8.12461154         0.60498606 si
   43     1        13.44707890        28.60094026        10.47153493 si
